id;num_employe;nom;prenom;tel_intern;email;niveau
1;26579;sans que;accrocher;diminuer examiner;Chilperic96@gmail.com;24903
2;2557;mature si bien que à seule fin de;hystérique communauté étudiante d'après;apparemment;Raymonde15@hotmail.fr;22194
3;24739;après que ah presque;presque;main-d’œuvre;Mahaut26@hotmail.fr;6629
4;28023;hors de extra hormis;tant;très personnel professionnel;Violette_Gaillard@hotmail.fr;8196
5;11595;propre à cause de;du fait que;rectangulaire;Angadreme_Paul@yahoo.fr;31140
6;30781;cyan;vu que feindre;dans ding souvent;Armin_Marchand@hotmail.fr;21700
7;894;pendant que;à côté de vorace à cause de;ouille assister mériter;Pulcherie.Guillot33@hotmail.fr;32754
8;15692;reconstituer ennuyer;partenaire;glisser vers;Armand33@hotmail.fr;29928
9;16547;loger;porte-parole;parce que dans la mesure où vaste;Florian_Denis50@yahoo.fr;32324
10;9286;brave;après mélancolique;égoïste;Perceval.Andre@gmail.com;6286
